custid,custfname,custlname,custphone,custemail,custstate,contactpref,pmtid,addedstamp,updatedstamp,hhi,ismarried,haskids,travelswpet,pronoun
3312,Evelynn,Jackson,(623) 989-3696,evelynnjackson35@gmail.com,AZ,call,744905307847,1/1/22 0:00,,140998,y,y,y,
3313,Madison,Clark,(208) 523-1730,mclark579@gmail.com,ID,text,538248294927,1/1/22 0:00,,88475,y,n,n,she
3314,Reese,Brown,,reesebrown2@gmail.com,UT,email,811677620129,1/1/22 0:00,,96451,y,y,y,she
3315,Benjamin,Morales,(801) 240-3242,bmorales109@icloud.com,UT,text,155986310206,1/1/22 0:00,,,,,,
3316,William,Maxwell,(435) 539-4140,williammaxwell28@icloud.com,UT,text,573859160188,1/1/22 0:00,,127980,y,y,n,
3317,Owen,Lee,(801) 950-8371,olee362@yahoo.com,UT,text,746581719925,1/1/22 0:00,,137391,,,y,he
3318,Charlie,Shepherd,(208) 903-2231,cshepherd131@yahoo.com,ID,text,732121538841,1/1/22 0:00,,137994,y,,n,she
3319,Lucas,Barker,(801) 649-3026,lbarker463@yahoo.com,UT,text,653852025379,1/1/22 0:00,,151656,y,,y,
3320,Eli,Flores,(602) 316-6206,eliflores65@gmail.com,AZ,email,459992970448,1/1/22 0:00,,60266,y,n,,
3321,Matthias,Fowler,,matthiasfowler28@outlook.com,AZ,email,457991961938,1/1/22 0:00,,128126,y,y,n,
3322,Marie,Larsen,(801) 955-6877,mlarsen665@outlook.com,UT,text,763792563517,1/1/22 0:00,,133257,y,y,n,
3323,Henry,Weaver,(208) 526-2255,henryweaver3@outlook.com,ID,text,136282761887,1/1/22 0:00,,143961,n,y,n,
3324,Owen,Cook,(208) 628-9354,owencook10@iheartemail.com,ID,,945862874080,1/1/22 0:00,,91309,y,n,y,he
3325,Bexley,Stevenson,(208) 749-1920,bexleystevenson54@iheartemail.com,ID,call,791753839558,1/2/22 0:00,,184085,,,,she
3326,Mercy,Jensen,(801) 751-4402,mjensen489@icloud.com,UT,,967733854756,1/2/22 0:00,,123452,,,n,
3327,Bryan,Gibson,(208) 985-7970,bryangibson50@yahoo.com,ID,text,836786355768,1/2/22 0:00,,,,,,
3328,Jayden,Hudson,(385) 493-7128,jaydenhudson5@gmail.com,UT,call,902754539799,1/2/22 0:00,,,,n,n,
3329,Owen,Morrow,(602) 414-6792,omorrow400@hotmail.com,AZ,email,976101161808,1/2/22 0:00,,123592,y,n,n,he
3330,Harper,Scott,(801) 596-9057,harperscott38@outlook.com,UT,text,316876155233,1/2/22 0:00,,121030,,,n,
3331,Kathleen,Chandler,(208) 718-2260,kathleenchandler36@yahoo.com,ID,call,905244428975,1/2/22 0:00,,133627,y,y,n,she
3332,Adley,Thompson,(208) 541-5958,athompson25@gmail.com,ID,email,677183790211,1/2/22 0:00,,112924,y,y,y,she
3333,Noah,Morton,(480) 257-3684,noahmorton71@hotmail.com,AZ,text,598479016531,1/2/22 0:00,,136250,y,y,n,
3334,Vivienne,Sanchez,(208) 766-6552,vsanchez903@yahoo.com,ID,,940072510269,1/2/22 0:00,,146591,n,n,n,she
3335,Kyle,Prince,(208) 828-5539,kyleprince43@gmail.com,ID,text,907561183436,1/2/22 0:00,,174600,y,n,y,he
3336,Jackson,Perez,(928) 723-2131,jperez168@icloud.com,AZ,text,960279024762,1/2/22 0:00,,136551,y,n,n,he
3337,Serenity,Cox,(801) 604-2479,scox536@gmail.com,UT,text,686465243946,1/2/22 0:00,,,,,,
3338,Layla,Randolph,(208) 718-1677,laylarandolph49@gmail.com,ID,text,216304521047,1/2/22 0:00,,96379,y,y,y,
3339,Ryan,Casey,(208) 343-3735,ryancasey71@gmail.com,ID,email,598016503466,1/2/22 0:00,,,y,n,n,he
3340,Holly,Smith,(602) 242-3640,hollysmith81@outlook.com,AZ,call,143555452401,1/2/22 0:00,,148815,n,n,y,
3341,Anthony,Reed,(801) 325-8127,areed520@yahoo.com,UT,text,193868349144,1/2/22 0:00,,,,,,
3342,Henry,Sawyer,(208) 260-2224,henrysawyer44@gmail.com,ID,call,236671706884,1/2/22 0:00,,,,,,he
3343,Benjamin,Rivera,(208) 380-6593,brivera140@iheartemail.com,ID,email,264469468605,1/2/22 0:00,,92774,y,y,y,he
3344,Megan,Moss,(801) 731-8202,mmoss945@yahoo.com,UT,text,,1/3/22 0:00,,177195,n,n,y,she
3345,Nate,Simmons,(801) 274-5383,natesimmons33@outlook.com,UT,email,340971019366,1/3/22 0:00,,455801,y,y,n,
3346,Ava,Osborne,(208) 402-2266,aosborne900@gmail.com,ID,text,262750576204,1/4/22 0:00,,,,,,she
3347,Skylar,Moore,(435) 862-3587,skylarmoore72@yahoo.com,UT,call,283662460272,1/4/22 0:00,,154445,y,n,n,she
3348,Connor,Warren,(602) 632-6371,connorwarren52@gmail.com,AZ,text,557962669652,1/4/22 0:00,,152853,,y,n,
3349,Ben,Vasquez,(385) 353-6006,bvasquez338@yahoo.com,UT,call,192187904449,1/4/22 0:00,,169432,y,,n,he
3350,Elena,Moore,(602) 342-5988,emoore602@gmail.com,AZ,text,672397094213,1/4/22 0:00,,114061,y,,,
3351,Jesse,Eaton,(208) 322-3376,jeaton937@yahoo.com,ID,text,139815211333,1/4/22 0:00,,96493,y,y,,he
3352,Jacob,Bradshaw,(435) 778-3011,jacobbradshaw98@icloud.com,UT,text,834126887746,1/5/22 0:00,,,y,y,,
3353,Kendall,Lee,(801) 788-6644,klee942@hotmail.com,UT,email,458789973961,1/5/22 0:00,,142920,y,y,,he
3354,Rowan,Glass,(208) 835-3148,rglass450@yahoo.com,ID,text,507221571741,1/5/22 0:00,,123246,,,y,
3355,Hunter,Gonzalez,(503) 616-8024,hgonzalez68@gmail.com,OR,call,274240393153,1/5/22 0:00,,,y,y,y,
3356,Mason,Wallace,(602) 826-5947,mwallace933@creativedestruction.com,AZ,text,509818553878,1/5/22 0:00,,191221,y,y,,
3357,Zander,Cannon,(801) 304-9113,zcannon188@gmail.com,UT,,916566566284,1/6/22 0:00,,94151,n,,n,he
3358,Kathryn,Nixon,(208) 581-7007,kathryncamps88@outlook.com,ID,call,465819859351,1/6/22 0:00,,116104,y,y,y,
3359,James,Christensen,(385) 879-1913,jameschristensen31@gmail.com,UT,text,512938161308,1/6/22 0:00,,,y,n,n,
3360,Weston,Gonzales,(801) 518-4815,wgonzales423@hotmail.com,UT,call,452779157204,1/6/22 0:00,,171554,y,n,n,
3361,Presley,Jackson,(602) 994-8399,presleyjackson39@yahoo.com,AZ,email,212209998427,1/6/22 0:00,,106620,y,y,n,she
