custid,custfname,custlname,custphone,custemail,custstate,contactpref,pmtid,addedstamp,updatedstamp,hhi,ismarried,haskids,travelswpet,pronoun
4312,Adeline,Martinez,(208) 946-4031,amartinez552@yahoo.com,ID,email,637181382913,2022-08-31 00:00:00,,193289,y,y,,
4313,Armani,Bishop,(208) 945-9775,abishop468@hotmail.com,ID,call,817178319472,2022-08-31 00:00:00,,,n,n,,
4314,Genesis,Morales,(801) 669-5269,genesismorales72@icloud.com,UT,call,120541130849,2022-08-31 00:00:00,,121035,y,n,y,she
4315,Houston,Campbell,(602) 406-1862,houstoncampbell19@iheartemail.com,AZ,text,585834232753,2022-08-31 00:00:00,,123447,y,y,n,he
4316,Esperanza,Murphy,(801) 485-4598,esperanzamurphy1@gmail.com,UT,call,977662172096,2022-08-31 00:00:00,,130983,y,n,n,
4317,Lincoln,Fields,(480) 872-5987,lfields346@outlook.com,AZ,email,660878361247,2022-08-31 00:00:00,,121727,,,n,
4318,Troy,Alexander,(801) 505-3470,troyalexander41@yahoo.com,UT,text,268045338928,2022-08-31 00:00:00,,146782,y,n,y,he
4319,Alaia,Baker,(385) 336-9319,alaiabaker12@hotmail.com,UT,text,587137489657,2022-08-31 00:00:00,,155064,y,n,y,she
4320,Sophia,Moses,(602) 636-8052,smoses306@gmail.com,AZ,email,879666870896,2022-08-31 00:00:00,,146580,y,y,y,
4321,Kinslee,McCarthy,(208) 870-7721,kinsleemccarthy18@hotmail.com,ID,text,977606899250,2022-09-01 00:00:00,,,,,,
4322,Miles,Harris,(435) 764-8950,milesharris2@outlook.com,UT,call,853413557238,2022-09-01 00:00:00,,112128,y,y,,he
4323,Isabel,Hudson,(509) 276-9567,ihudson154@gmail.com,WA,email,664505298048,2022-09-01 00:00:00,,137911,y,n,n,
4324,Genesis,Patton,(385) 470-6823,gpatton684@hotmail.com,UT,text,630038380934,2022-09-01 00:00:00,,137782,n,,,she
4325,Sariah,Lopez,(208) 370-3281,slopez215@creativedestruction.com,ID,call,264664845509,2022-09-02 00:00:00,,130908,y,y,n,she
4326,Audrey,Pope,(307) 616-1458,apope781@hotmail.com,WY,call,197920392691,2022-09-02 00:00:00,,177166,,,n,she
4327,Edgar,McDowell,(602) 982-9739,edgarmcdowell13@yahoo.com,AZ,text,239940248522,2022-09-02 00:00:00,,,,,,
4328,Tatiana,Perez,(435) 677-1194,tperez475@iheartemail.com,UT,text,963952168235,2022-09-02 00:00:00,,191002,y,y,y,
4329,Serenity,Lyons,(541) 522-8998,serenitylyons53@outlook.com,OR,email,663769139700,2022-09-02 00:00:00,,159064,y,n,y,
4330,Oscar,Nicholson,(602) 770-6378,oscarnicholson32@yahoo.com,AZ,call,251473515939,2022-09-03 00:00:00,,,y,n,y,he
4331,Jacob,Sanchez,(435) 244-3364,jsanchez321@gmail.com,UT,call,758662622885,2022-09-03 00:00:00,,124863,y,,n,he
4332,Itzel,Calhoun,(702) 979-9024,icalhoun895@gmail.com,NV,call,261624896484,2022-09-03 00:00:00,,129312,,,n,she
4333,Promise,Ford,(928) 939-3049,pford500@gmail.com,AZ,call,483173806902,2022-09-03 00:00:00,,106267,,n,y,she
4334,Madison,Johnson,(435) 504-4072,madisonjohnson27@gmail.com,UT,text,774715972292,2022-09-03 00:00:00,,137644,y,n,n,
4335,Frigg,Garcia,(208) 939-7512,frigggarcia50@icloud.com,ID,text,339447536947,2022-09-03 00:00:00,,124495,y,n,n,
4336,Kyrie,Hamilton,(801) 260-3692,khamilton925@hotmail.com,UT,call,591861871521,2022-09-03 00:00:00,,165412,,,n,
4337,Riley,Newman,(208) 677-5538,rnewman814@outlook.com,ID,email,400806522608,2022-09-03 00:00:00,,130211,,,n,she
4338,Ryan,Evans,(406) 756-7268,revans248@gmail.com,MT,text,902755854999,2022-09-03 00:00:00,,162711,y,y,y,
4339,Daniel,Mann,(801) 848-1441,danielmann19@yahoo.com,UT,call,302969749666,2022-09-03 00:00:00,,125656,y,y,n,
4340,Adley,Grant,(801) 665-7524,adleygrant24@yahoo.com,UT,,111130687121,2022-09-03 00:00:00,,,,,,she
4341,Jaxon,Weeks,(801) 518-9266,jaxonweeks91@yahoo.com,UT,text,186991364748,2022-09-03 00:00:00,,,y,n,y,he
4342,Burton,Hall,(208) 662-5682,bhall535@hotmail.com,ID,email,712225610912,2022-09-03 00:00:00,,127856,y,y,y,he
4343,Harrison,Jefferson,(307) 302-2684,hjefferson56@gmail.com,WY,text,451928851512,2022-09-03 00:00:00,,137358,y,,y,
4344,Jazmin,Atkins,(480) 587-5932,jatkins655@yahoo.com,AZ,call,683818366693,2022-09-03 00:00:00,,98367,y,,n,
4345,Austin,Mann,(208) 448-5311,amann278@yahoo.com,ID,text,331052558965,2022-09-03 00:00:00,,182432,,,y,
4346,Rowan,Carter,(208) 848-6657,rcarter251@outlook.com,ID,text,606395641901,2022-09-03 00:00:00,,116816,y,n,y,
